inflation,output,market_inflation,market_output,fe_inflation,fe_output,target
-0.533,-0.263,0.0,0.0,0.533,0.263,0
-0.397,-0.17,-0.245,-0.15,0.15200000000000002,0.020000000000000018,0
-1.221,0.356,-0.207,-0.1,1.014,-0.45599999999999996,0
-0.557,0.774,-0.891,0.203,-0.33399999999999996,-0.571,0
-0.467,0.817,-0.423,0.333,0.04400000000000004,-0.48399999999999993,0
0.711,0.87,-0.308,0.433,-1.019,-0.437,0
-0.162,0.363,0.235,0.539,0.397,0.17600000000000005,0
-0.118,-1.052,-0.045,0.207,0.073,1.2590000000000001,0
0.095,-0.413,-0.018,-0.326,-0.113,0.08699999999999997,0
0.701,0.498,0.024,-0.083,-0.6769999999999999,-0.581,0
0.246,0.395,0.175,0.04,-0.07100000000000001,-0.35500000000000004,0
0.206,0.098,0.069,0.024,-0.13699999999999998,-0.07400000000000001,0
-0.939,-0.07,0.066,0.007,1.005,0.07700000000000001,0
-1.049,0.007,-0.329,-0.008,0.72,-0.015,0
-0.439,0.125,-0.294,0.001,0.14500000000000002,-0.124,0
0.247,-0.26,-0.145,0.027,-0.392,0.28700000000000003,0
-0.02,-0.322,0.027,-0.068,0.047,0.254,0
0.998,-0.383,-0.003,-0.106,-1.001,0.277,0
1.498,-0.221,0.259,-0.172,-1.2389999999999999,0.049000000000000016,0
0.989,-0.274,0.569,-0.117,-0.42000000000000004,0.15700000000000003,0
-0.379,0.032,0.663,-0.156,1.042,-0.188,0
-1.141,0.116,-0.136,0.019,1.005,-0.097,0
-1.034,0.78,-0.228,0.061,0.806,-0.7190000000000001,0
0.011,0.551,-0.114,0.406,-0.125,-0.14500000000000002,0
0.24,1.578,0.001,0.32,-0.239,-1.258,0
-0.902,0.439,0.007,1.12,0.909,0.681,0
-0.552,0.439,-0.018,0.334,0.534,-0.10499999999999998,0
0.556,0.72,-0.022,0.184,-0.5780000000000001,-0.536,0
0.178,1.633,0.011,0.382,-0.16699999999999998,-1.251,0
-0.23,1.062,0.007,1.176,0.23700000000000002,0.11399999999999988,0
0.951,0.898,-0.014,0.935,-0.965,0.03700000000000003,0
0.613,0.517,0.171,0.835,-0.44199999999999995,0.31799999999999995,0
0.168,0.918,0.11,0.419,-0.05800000000000001,-0.49900000000000005,0
0.302,0.561,0.03,0.826,-0.272,0.2649999999999999,0
0.231,0.702,0.073,0.494,-0.15800000000000003,-0.20799999999999996,0
-0.049,0.36,0.065,0.639,0.114,0.279,0
0.547,-0.489,-0.017,0.292,-0.5640000000000001,0.7809999999999999,0
0.912,-0.19,0.181,-0.186,-0.7310000000000001,0.0040000000000000036,0
1.062,0.146,0.356,-0.044,-0.7060000000000001,-0.19,0
0.8,0.26,0.616,0.032,-0.18400000000000005,-0.228,0
1.237,-0.409,0.568,0.06,-0.6690000000000002,0.469,0
1.082,-0.507,1.027,-0.106,-0.05500000000000016,0.401,0
1.255,-0.23,0.985,-0.137,-0.2699999999999999,0.093,0
1.751,-0.302,1.243,-0.087,-0.5079999999999998,0.215,0
2.137,-0.364,1.751,-0.127,-0.3860000000000001,0.237,0
3.002,-0.594,2.137,-0.157,-0.8649999999999998,0.43699999999999994,0
3.229,0.033,3.002,-0.297,-0.2270000000000003,-0.32999999999999996,0
2.393,0.121,3.229,0.018,0.8360000000000003,-0.103,0
1.858,0.889,2.393,0.046,0.5349999999999997,-0.843,0
2.571,0.776,1.858,0.373,-0.7130000000000001,-0.403,0
2.438,0.645,2.571,0.31,0.133,-0.335,0
2.604,-0.548,2.438,0.368,-0.16599999999999993,0.916,0
2.159,-0.389,2.604,-0.219,0.4450000000000003,0.17,0
2.633,-0.529,2.159,-0.121,-0.4740000000000002,0.40800000000000003,0
2.44,0.0,2.633,-0.164,0.19300000000000006,-0.164,0
3.181,0.239,2.44,0.0,-0.7410000000000001,-0.239,0
2.908,-0.147,3.181,0.033,0.27300000000000013,0.18,0
3.458,-0.185,2.908,-0.027,-0.5500000000000003,0.158,0
3.759,-0.714,3.458,-0.056,-0.3009999999999997,0.6579999999999999,0
3.397,-0.023,3.759,-0.329,0.3620000000000001,-0.306,0
3.896,-1.01,3.397,-0.013,-0.4990000000000001,0.997,0
3.349,-1.917,3.896,-0.747,0.5469999999999997,1.17,0
2.815,-2.464,3.349,-1.572,0.5340000000000003,0.8919999999999999,0
3.02,-3.102,2.815,-2.291,-0.20500000000000007,0.8109999999999999,0
2.533,-3.488,3.02,-2.947,0.4870000000000001,0.5409999999999999,0
2.125,-2.225,2.533,-3.418,0.4079999999999999,-1.193,0
1.842,-2.22,2.125,-2.18,0.2829999999999999,0.040000000000000036,0
1.223,-2.388,1.842,-2.175,0.619,0.21300000000000008,0
1.655,-1.799,1.223,-2.388,-0.43199999999999994,-0.589,0
1.857,-2.061,1.655,-1.799,-0.20199999999999996,0.262,0
1.691,-2.619,1.857,-2.061,0.16599999999999993,0.5580000000000003,0
1.521,-2.32,1.691,-2.619,0.17000000000000015,-0.2990000000000004,0
1.647,-1.972,1.521,-2.32,-0.1260000000000001,-0.34799999999999986,0
2.411,-2.372,1.647,-1.972,-0.764,0.3999999999999999,0
2.758,-1.774,2.411,-2.372,-0.347,-0.5979999999999999,0
2.42,-1.686,2.758,-1.774,0.3380000000000001,-0.08800000000000008,0
2.772,-0.735,2.42,-1.686,-0.35199999999999987,-0.951,0
2.677,-0.712,2.772,-0.735,0.09499999999999975,-0.02300000000000002,0
2.575,-0.032,2.677,-0.676,0.10199999999999987,-0.644,0
3.493,-0.32,2.575,-0.022,-0.9179999999999997,0.298,0
3.241,-0.85,3.493,-0.192,0.2519999999999998,0.6579999999999999,0
3.017,0.319,3.241,-0.425,0.2240000000000002,-0.744,0
2.032,-0.19,3.017,0.15,0.9849999999999999,0.33999999999999997,0
1.312,-0.375,2.032,-0.065,0.72,0.31,0
1.498,-0.774,1.312,-0.113,-0.18599999999999994,0.661,0
1.111,-0.808,1.498,-0.217,0.387,0.5910000000000001,0
1.329,-0.783,1.111,-0.428,-0.21799999999999997,0.35500000000000004,0
0.739,-0.653,1.329,-0.47,0.59,0.18300000000000005,0
0.311,-0.738,0.724,-0.437,0.413,0.301,0
0.622,0.071,0.252,-0.664,-0.37,-0.735,0
1.293,-0.146,0.517,0.046,-0.7759999999999999,0.192,0
1.432,-0.684,1.047,-0.067,-0.385,0.617,0
1.874,-1.268,1.246,-0.329,-0.6280000000000001,0.9390000000000001,0
2.603,-1.358,1.762,-0.672,-0.8410000000000002,0.686,0
2.999,-1.691,2.524,-0.964,-0.4750000000000001,0.7270000000000001,0
2.478,-0.935,2.969,-1.438,0.49099999999999966,-0.5029999999999999,0
2.352,-1.218,2.453,-0.879,0.10099999999999998,0.33899999999999997,0
2.574,-1.624,2.328,-1.193,-0.246,0.43100000000000005,0
2.281,-1.457,2.548,-1.608,0.2669999999999999,-0.15100000000000002,0
2.39,-2.117,2.258,-1.457,-0.13200000000000012,0.6599999999999999,0
1.481,-2.389,2.39,-2.117,0.909,0.2719999999999998,0
0.973,-1.865,1.481,-2.389,0.5080000000000001,-0.5239999999999998,0
1.156,-1.625,0.973,-1.865,-0.18299999999999994,-0.24,0
-0.044,-1.632,1.156,-1.625,1.2,0.006999999999999895,0
-0.626,-0.664,-0.035,-1.632,0.591,-0.9679999999999999,0
-0.514,-1.077,-0.276,-0.657,0.238,0.41999999999999993,0
-1.23,-1.136,-0.113,-1.045,1.117,0.09099999999999997,0
-0.964,-1.043,-0.652,-1.125,0.31199999999999994,-0.08200000000000007,0
-1.333,-2.277,-0.675,-1.022,0.6579999999999999,1.2550000000000001,0
-1.416,-0.994,-1.107,-2.277,0.30899999999999994,-1.2830000000000001,0
-1.5,-0.648,-1.26,-0.994,0.24,-0.346,0
-1.397,-0.746,-1.41,-0.408,-0.0129999999999999,0.338,0
-1.627,0.762,-1.369,-0.448,0.258,-1.21,0
-1.515,1.015,-1.595,0.244,-0.08000000000000007,-0.7709999999999999,0
-1.752,0.972,-1.485,0.183,0.2669999999999999,-0.7889999999999999,0
-1.454,0.4,-1.752,0.224,-0.29800000000000004,-0.17600000000000002,0
-0.603,0.085,-1.454,0.1,-0.851,0.015,0
-0.518,-0.444,-0.585,0.017,-0.06699999999999995,0.461,0
-0.364,0.399,-0.419,-0.053,-0.05499999999999999,-0.452,0
-0.886,-0.005,-0.244,0.084,0.642,0.08900000000000001,0
-0.393,-0.006,-0.593,-0.001,-0.19999999999999996,0.005,0
-0.679,0.929,-0.299,-0.002,0.38000000000000006,-0.931,0
-0.967,0.823,-0.529,0.381,0.43799999999999994,-0.44199999999999995,0
-0.563,0.665,-0.784,0.346,-0.22100000000000009,-0.31900000000000006,0
-0.371,0.92,-0.451,0.286,-0.08000000000000002,-0.6340000000000001,0
0.277,0.43,-0.226,0.598,-0.503,0.16799999999999998,0
0.954,0.672,0.122,0.331,-0.832,-0.341,0
0.364,1.126,0.2,0.551,-0.16399999999999998,-0.5749999999999998,0
0.333,1.092,0.065,0.991,-0.268,-0.10100000000000009,0
1.145,1.127,0.083,0.993,-1.062,-0.134,0
1.359,0.235,0.584,1.093,-0.775,0.858,0
1.456,-0.446,0.884,0.186,-0.572,0.632,0
1.944,-1.113,1.237,-0.205,-0.7069999999999999,0.908,0
1.573,-0.023,1.808,-0.3,0.2350000000000001,-0.27699999999999997,0
1.857,-0.369,1.541,-0.005,-0.31600000000000006,0.364,0
2.586,0.503,1.857,-0.048,-0.7289999999999999,-0.551,0
3.375,-0.434,2.586,0.106,-0.7890000000000001,0.54,0
2.948,-0.488,3.375,-0.156,0.42700000000000005,0.33199999999999996,0
2.802,-0.4,2.948,-0.132,0.1459999999999999,0.268,0
2.986,-0.148,2.802,-0.144,-0.18400000000000016,0.0040000000000000036,0
2.818,-0.477,2.986,-0.05,0.16800000000000015,0.427,0
2.612,-0.202,2.818,-0.2,0.20599999999999996,0.0020000000000000018,0
2.939,-0.292,2.612,-0.107,-0.32699999999999996,0.185,0
2.746,-0.326,2.939,-0.158,0.19300000000000006,0.168,0
1.813,-0.785,2.746,-0.166,0.933,0.619,0
1.949,-0.904,1.813,-0.487,-0.13600000000000012,0.41700000000000004,0
1.702,-0.686,1.949,-0.66,0.2470000000000001,0.026000000000000023,0
1.3,-0.729,1.702,-0.562,0.4019999999999999,0.16699999999999993,0
0.493,-0.47,1.3,-0.613,0.807,-0.14300000000000002,0
0.94,-0.9,0.464,-0.366,-0.4759999999999999,0.534,0
-0.235,-0.865,0.903,-0.702,1.138,0.16300000000000003,0
-1.083,-0.644,-0.167,-0.726,0.9159999999999999,-0.08199999999999996,0
-0.926,-0.378,-0.455,-0.541,0.47100000000000003,-0.16300000000000003,0
0.022,0.193,-0.278,-0.303,-0.30000000000000004,-0.496,0
0.645,-0.452,0.003,0.098,-0.642,0.55,0
-0.231,0.03,0.045,-0.208,0.276,-0.238,0
-0.164,0.923,-0.012,0.015,0.152,-0.908,0
-0.846,-0.157,-0.002,0.249,0.844,0.406,0
0.005,-0.276,-0.127,-0.05,-0.132,0.22600000000000003,0
-0.754,-0.389,0.002,-0.055,0.756,0.334,0
-0.682,-0.226,-0.445,-0.062,0.23700000000000004,0.164,0
-0.005,0.7,-0.43,-0.047,-0.425,-0.747,0
-0.088,0.538,-0.002,0.077,0.086,-0.461,0
0.658,-0.378,-0.028,0.059,-0.686,0.437,0
0.015,0.045,0.237,-0.038,0.22199999999999998,-0.08299999999999999,0
0.167,-0.546,0.005,0.006,-0.162,0.552,0
0.55,0.179,0.062,-0.115,-0.48800000000000004,-0.294,0
0.332,0.344,0.22,0.054,-0.11200000000000002,-0.29,0
0.981,0.706,0.173,0.089,-0.808,-0.617,0
1.087,0.078,0.638,0.247,-0.44899999999999995,0.16899999999999998,0
0.163,1.153,0.761,0.026,0.598,-1.127,0
2.148,0.759,0.098,0.622,-2.0500000000000003,-0.137,0
2.304,0.498,1.761,0.501,-0.5429999999999999,0.0030000000000000027,0
2.249,0.139,2.073,0.319,-0.17600000000000016,0.18,0
1.477,-0.331,2.137,0.064,0.6599999999999999,0.395,0
1.433,-0.806,1.388,-0.099,-0.04500000000000015,0.7070000000000001,0
1.141,-0.67,1.376,-0.129,0.23499999999999988,0.541,0
1.373,-1.127,1.073,-0.288,-0.30000000000000004,0.839,0
1.48,-0.883,1.304,-0.744,-0.17599999999999993,0.139,0
2.337,-1.246,1.465,-0.636,-0.8720000000000001,0.61,0
2.346,-0.779,2.29,-1.109,-0.05600000000000005,-0.32999999999999996,0
2.57,-0.405,2.322,-0.732,-0.24799999999999978,-0.32699999999999996,0
2.71,-0.941,2.57,-0.308,-0.14000000000000012,0.633,0
2.61,-0.511,2.71,-0.8,0.10000000000000009,-0.28900000000000003,0
2.48,-0.764,2.61,-0.429,0.1299999999999999,0.335,0
3.014,-0.332,2.48,-0.657,-0.5339999999999998,-0.325,0
3.386,-0.365,3.014,-0.263,-0.37200000000000033,0.10199999999999998,0
3.068,-0.056,3.386,-0.263,0.31800000000000006,-0.20700000000000002,0
2.475,-0.721,3.068,-0.034,0.593,0.6869999999999999,0
2.397,-0.893,2.475,-0.49,0.07800000000000029,0.403,0
2.96,-0.344,2.397,-0.679,-0.5630000000000002,-0.3350000000000001,0
2.9,-0.928,2.96,-0.248,0.06000000000000005,0.68,0
3.67,-2.071,2.9,-0.752,-0.77,1.3190000000000002,0
3.133,-2.983,3.67,-1.885,0.5369999999999999,1.098,0
2.992,-4.235,3.133,-2.893,0.14100000000000001,1.3420000000000005,0
1.483,-5.026,2.992,-4.108,1.509,0.9180000000000001,0
0.927,-5.152,1.483,-4.925,0.556,0.2270000000000003,0
0.52,-4.313,0.853,-5.049,0.33299999999999996,-0.7360000000000007,0
0.475,-4.342,0.354,-4.227,-0.121,0.11499999999999932,0
1.026,-3.805,0.247,-4.342,-0.779,-0.5369999999999995,0
0.692,-3.645,0.688,-3.805,-0.0040000000000000036,-0.16000000000000014,0
1.143,-3.794,0.519,-3.645,-0.624,0.14900000000000002,0
1.203,-3.577,0.96,-3.794,-0.2430000000000001,-0.21700000000000008,0
1.488,-3.331,1.119,-3.577,-0.369,-0.246,0
1.085,-2.802,1.428,-3.331,0.34299999999999997,-0.5289999999999999,0
1.585,-3.406,1.042,-2.802,-0.5429999999999999,0.6040000000000001,0
0.873,-2.734,1.506,-3.406,0.633,-0.6720000000000002,0
1.006,-2.117,0.855,-2.734,-0.15100000000000002,-0.617,0
0.429,-2.004,1.006,-2.117,0.577,-0.11299999999999999,0
0.079,-1.603,0.408,-2.004,0.32899999999999996,-0.401,0
-0.758,-1.83,0.048,-1.603,0.806,0.2270000000000001,0
-0.898,-2.189,-0.303,-1.83,0.595,0.359,0
-0.519,-2.033,-0.287,-2.189,0.23200000000000004,-0.15600000000000014,0
-0.492,-1.933,-0.202,-2.033,0.29,-0.09999999999999987,0
-1.133,-1.897,-0.236,-1.933,0.897,-0.03600000000000003,0
-0.293,-1.997,-0.725,-1.897,-0.432,0.10000000000000009,0
-0.161,-1.874,-0.179,-1.997,-0.017999999999999988,-0.123,0
0.326,-1.26,-0.069,-1.874,-0.395,-0.6140000000000001,0
0.493,-2.165,0.091,-1.26,-0.402,0.905,0
-0.097,-1.608,0.138,-2.165,0.23500000000000001,-0.5569999999999999,0
-1.098,-1.315,-0.022,-1.608,1.076,-0.29300000000000015,0
-1.1,-0.548,-0.132,-1.315,0.9680000000000001,-0.7669999999999999,0
-0.072,-0.153,-0.253,-0.521,-0.181,-0.368,0
-0.629,-1.223,-0.011,-0.098,0.618,1.125,0
-0.028,-0.717,-0.17,-0.942,-0.14200000000000002,-0.22499999999999998,0
-0.341,-0.334,-0.01,-0.53,0.331,-0.196,0
-0.069,-0.324,-0.157,-0.147,-0.088,0.17700000000000002,0
-0.962,-0.043,-0.027,-0.133,0.9349999999999999,-0.09000000000000001,0
-0.163,0.181,-0.548,-0.015,-0.385,-0.196,0
-0.159,-0.249,-0.091,0.063,0.068,0.312,0
0.364,0.64,-0.064,-0.087,-0.428,-0.727,0
0.393,0.576,0.174,0.339,-0.21900000000000003,-0.23699999999999993,0
0.756,1.213,0.2,0.328,-0.556,-0.885,0
0.584,0.602,0.454,0.898,-0.12999999999999995,0.29600000000000004,0
0.815,-0.528,0.356,0.422,-0.45899999999999996,0.95,0
-0.074,-0.092,0.555,-0.174,0.629,-0.08199999999999999,0
-0.584,0.325,-0.045,-0.011,0.5389999999999999,-0.336,0
0.015,-0.0,-0.111,0.013,-0.126,0.013,0
-0.049,-0.768,0.002,-0.0,0.051000000000000004,0.768,0
-0.174,-0.617,-0.008,-0.115,0.16599999999999998,0.502,0
-0.195,0.122,-0.049,-0.074,0.14600000000000002,-0.196,0
0.137,0.048,-0.037,0.018,-0.17400000000000002,-0.030000000000000002,0
-0.202,0.093,0.044,0.008,0.246,-0.08499999999999999,0
0.099,-0.272,-0.083,0.017,-0.182,0.28900000000000003,0
-0.413,-0.601,0.05,-0.076,0.46299999999999997,0.525,0
-0.531,-0.422,-0.198,-0.186,0.333,0.236,0
0.029,-1.002,-0.297,-0.186,-0.326,0.8160000000000001,0
0.56,0.078,0.012,-0.611,-0.548,-0.689,0
-0.166,0.319,0.173,0.053,0.33899999999999997,-0.266,0
0.328,0.37,-0.053,0.093,-0.381,-0.277,0
